restaurant_name,name,rating,review,items_ordered,purchase_date,user_since
"Kober Mie, Kaca Piring",Ciella Marsya,1.0,kurang teliti dalam menulis kemasan makanan,Udang Rambutan - Mie Setan - Mie Iblis - Mie Iblis,4 December 2022,Gojek user since 28 November 2022
"Kober Mie, Kaca Piring",R***** E*****,5.0,kurang teliti dibilang ga pedas Mala pedas smua,Happy Mie 4,23 January 2021,Gojek user since 17 May 2020
"Kober Mie, Kaca Piring",A********,2.0,"kurang teliti pegawainya, pesanannya krg 1,..untung drivernya teliti",Udang Rambutan - Udang Keju - Mie Iblis - Zombie Roll,21 November 2021,Gojek user since 13 December 2017
"Kober Mie, Kaca Piring",YULIA MORGAN,1.0,kurang teliti pegawainya..yang di pesan udang keju malah di kasih udang rambutan.sangat kecewa..struknya ada tulisan udang keju loh.,Kober Mie Manis - Udang Keju,1 September 2023,Gojek user since 13 November 2016
"Kober Mie, Kaca Piring",Nur hasanah,4.0,kurang teliti. contohnya : jika pemesanan mie kober 2 tdk ada keterangan Di luar kardusnya.,Mie Iblis - Mie Iblis - Udang Rambutan - Sushi,7 February 2022,Gojek user since 14 November 2019
"Kober Mie, Kaca Piring",S******,1.0,kurang tepat ini pesnan kurang 1 lebih teliti lagi,Mie Iblis - Udang Keju - Kaichat - Spicy Chicken Wings - Mie Setan,27 October 2021,Gojek user since 12 March 2017
"Kober Mie, Kaca Piring",R********,3.0,kurang tepatt waktuu,Kober Mie Manis - Kober Mie Manis - Kober Mie Original - Udang Rambutan - Udang Keju - Kerang Emas,30 November 2024,Gojek user since 27 July 2022
"Kober Mie, Kaca Piring",amiria,5.0,kurir ramah dan baik,Kober Mie Gurih - Udang Rambutan - Kober Mie Original - Udang Keju,2 March 2023,Gojek user since 10 July 2021
"Kober Mie, Kaca Piring",I*******,5.0,kurir ramah tepat waktu,Mie Iblis - Siomay - Es Genderuwo - Mie Iblis - Mie Iblis - Mie Iblis,28 August 2022,Gojek user since 25 November 2021
"Kober Mie, Kaca Piring",I** R*****,2.0,kyk kurang fresh,Kaichat - Udang Keju - Udang Rambutan,3 July 2021,Gojek user since 26 May 2017
"Kober Mie, Kaca Piring",M********,5.0,lain dari yang lain,Mie Setan,2 May 2021,Gojek user since 26 February 2021
"Kober Mie, Kaca Piring",reno,1.0,"lain kali di cek lagi ya mas mbak pesanannya datangnya ga sesuai, rela nunggu 2 jam datangnya ga sesuai pesanan",Kober Mie Gurih - Udang Keju - Kober Mie Manis - Siomay,10 September 2024,Gojek user since 26 May 2024
"Kober Mie, Kaca Piring",F*******,4.0,"lain kali kalok nulis level yang jelas yah Kak, udah sering order tpi tetep gak bisa bedain levelnya, tulisannya gak jelas, gak bisa dibaca",Ceker - Mie Angel - Mie Iblis - Mie Setan - Udang Rambutan - Mie Setan,2 December 2021,Gojek user since 21 September 2021
"Kober Mie, Kaca Piring",N***** O********* S*****,5.0,lain kali klo ngebungkus minumannya yg rapi saya ga jdi mnum soalnya bungkusnya robek,Mie Iblis - Nasi Hitler - Es Genderuwo,27 November 2021,Gojek user since 4 June 2021
"Kober Mie, Kaca Piring",Novia Dwi Anggraeni,3.0,"lama banget pelayanannya, pesan jam 19 nyampek jam 20.10",Mie Iblis - Udang Keju,10 September 2022,Gojek user since 12 January 2016
"Kober Mie, Kaca Piring",A*** N*****,2.0,lama menunggu.. harusnya online di dulukan..seperti sebelah,Mie Angel - Udang Rambutan,18 December 2021,Gojek user since 28 October 2018
"Kober Mie, Kaca Piring",C** G******,5.0,langganan thebest,Mie Angel - Mie Iblis,6 November 2021,Gojek user since 9 April 2021
"Kober Mie, Kaca Piring",S*******,3.0,layanan waktu pembelian terlalu lama dengan makanan yang gk panas sama sekali/ dingin dari segi dimsum. dan untuk gorengan juga sangat kering. mohon untuk ditingkatkan lagi pelayanan dan penyajianya 🙏🏼🙏🏼,Mie Iblis - Hakau - Keyca - Ceker - Rainbow Roll,5 July 2022,Gojek user since 28 April 2021
"Kober Mie, Kaca Piring",M**,5.0,lebih di tingkatkn lagi kualitas kesegaran rasa.,Mie Iblis - Siomay - Hakau - Udang Rambutan,18 December 2020,Gojek user since 17 May 2017
